Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1µ","C_0603_1608Metric",144.297245,-73.818871,-173.000000,bottom
"C2","1µ","C_0603_1608Metric",141.220352,-74.196666,7.000000,bottom
"C3","15p","C_0402_1005Metric",149.458983,-90.010503,-173.000000,bottom
"C4","15p","C_0402_1005Metric",147.473891,-90.254242,7.000000,bottom
"C5","1µ","C_0402_1005Metric",139.989154,-78.529004,-83.000000,bottom
"C6","1µ","C_0402_1005Metric",141.847163,-76.839980,-173.000000,bottom
"C7","100n","C_0402_1005Metric",145.676318,-75.614186,97.000000,bottom
"C8","100n","C_0402_1005Metric",144.598209,-86.526916,-173.000000,bottom
"C9","100n","C_0402_1005Metric",151.727204,-82.226052,-83.000000,bottom
"C10","100n","C_0402_1005Metric",147.705699,-72.695108,-173.000000,bottom
"C11","100n","C_0402_1005Metric",140.981700,-78.407134,-83.000000,bottom
"C12","100n","C_0402_1005Metric",150.323821,-77.360817,97.000000,bottom
"C13","100n","C_0402_1005Metric",140.817049,-82.810019,97.000000,bottom
"C14","100n","C_0402_1005Metric",144.732266,-87.618717,-173.000000,bottom
"D1","LED","LED_0402_1005Metric",145.000378,-89.802319,-173.000000,bottom
"D2","B5817","D_SOD-323",145.543205,-71.247863,-83.000000,bottom
"F1","Polyfuse","Fuse_0603_1608Metric",147.287134,-70.681107,-83.000000,bottom
"FB1","FerriteBead_Small","L_0603_1608Metric",149.813792,-69.514489,97.000000,bottom
"J1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",145.604099,-50.970796,0.000000,bottom
"R1","1k","R_0402_1005Metric",144.866322,-88.710518,7.000000,bottom
"R2","10k","R_0402_1005Metric",141.695452,-86.681828,-173.000000,bottom
"R3","1k","R_0402_1005Metric",151.720168,-85.450948,7.000000,bottom
"R4","5.1k","R_0402_1005Metric",139.138707,-70.371845,-83.000000,bottom
"R5","5.1k","R_0402_1005Metric",148.560043,-69.970683,-83.000000,bottom
"R6","27","R_0402_1005Metric",144.398195,-75.871871,-83.000000,bottom
"R7","27","R_0402_1005Metric",143.306394,-76.005927,-83.000000,bottom
"R8","1k","R_0402_1005Metric",146.504023,-88.509433,97.000000,bottom
"R9","10k","R_0402_1005Metric",149.641164,-72.457463,-173.000000,bottom
"R10","5.1k","R_0402_1005Metric",141.719200,-75.797806,7.000000,bottom
"R11","10k","R_0402_1005Metric",140.242907,-76.492902,97.000000,bottom
"R101","5.1k","R_0603_1608Metric",138.749578,-57.937762,90.000000,bottom
"R102","5.1k","R_0603_1608Metric",136.989578,-57.947762,-90.000000,bottom
"SW1","SW_Push","SW_SPST_CK_KXT3",142.024499,-89.361703,97.000000,bottom
"SW2","SW_Push","SW_SPST_CK_KXT3",151.949961,-88.143009,97.000000,bottom
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",146.061023,-81.209005,-173.000000,bottom
"U2","GD25Q80CEIGR","USON-8-1EP_3x2mm_P0.5mm_EP0.25x1.65mm",148.903852,-74.411887,-173.000000,bottom
"U3","XC6210B332MR-G","SOT-23-5",142.404498,-71.532496,-173.000000,bottom
"Y1","Crystal_GND24","Crystal_SMD_2520-4Pin_2.5x2.0mm",148.489995,-87.862583,-83.000000,bottom
"dA1","Diode","diode_smd",55.839578,-46.597762,-90.000000,bottom
"dA2","Diode","diode_smd",76.119578,-49.317762,-98.000000,bottom
"dA3","Diode","diode_smd",95.019578,-51.997762,-98.000000,bottom
"dA4","Diode","diode_smd",113.879578,-54.657762,-98.000000,bottom
"dA5","Diode","diode_smd",132.109578,-57.277762,-98.000000,bottom
"dA6","Diode","diode_smd",166.739578,-56.087762,-82.000000,bottom
"dA7","Diode","diode_smd",185.679578,-53.297762,-82.000000,bottom
"dA8","Diode","diode_smd",204.801266,-50.603573,-82.000000,bottom
"dA9","Diode","diode_smd",223.229578,-48.217762,-82.000000,bottom
"dA10","Diode","diode_smd",246.019578,-47.377762,-90.000000,bottom
"dB1","Diode","diode_smd",55.389578,-66.847762,-90.000000,bottom
"dB2","Diode","diode_smd",77.249578,-68.677762,-98.000000,bottom
"dB3","Diode","diode_smd",97.179578,-71.527762,-98.000000,bottom
