Comment,Designator,Footprint,LCSC
LED,D1,LED_0402_1005Metric,C130719
diodes,"DE7,DB6,DB2,DE15,DD1,DA15,DB4,DC9,DA5,DA11,DB11,DD7,DB14,DD14,DD10,DD12,DD15,DA6,DE14,DB5,DC3,DC8,DB12,DA8,DA13,DD4,DD3,DC13,DC6,DD5,DC11,DA2,DC2,DD9,DE12,DC7,DA3,DB13,DA1,DD11,DA9,DC4,DA4,DC5,DA12,DE3,DB1,DD8,DE2,DE1,DB7,DC10,DD2,DC12,DC14,DD6,DB9,DE11,DB10,DB3,DB8,DA7,DA10,DA14,DC1",C64898
1µ,"C5,C6",C_0402_1005Metric,C52923
GD25Q80CEIGR,U2,USON-8-1EP_3x2mm_P0.5mm_EP0.25x1.65mm,C152596
SW_Push,"SW1,SW2",SW_SPST_CK_KXT3,C319433
15p,"C3,C4",C_0402_1005Metric,C1548
1µ,"C1,C2",C_0603_1608Metric,C19666
JST,J1,SM04B-SRSS-TB(LF)(SN),C160404
10k,"R11,R2,R9",R_0402_1005Metric,C25744
100n,"C10,C11,C12,C13,C14,C7,C8,C9",C_0402_1005Metric,C1525
Crystal_GND24,Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,C2149204
XC6210B332MR-G,U3,SOT-23-5,C82942
5.1k,"R10",R_0402_1005Metric,C25905
1k,"R1,R3,R8",R_0402_1005Metric,C11702,~
27,"R6,R7",R_0402_1005Metric,C25100
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
